,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
402,8,1,T,F,F,F,F,F,T,,N,N,,1139
403,90,1,T,F,F,F,T,F,F,,Y,N,,1140
404,30,1,T,F,F,F,F,T,F,,N,N,,1155
405,14,1,T,F,F,F,F,T,F,,N,N,,1159
406,4,1,T,F,F,F,F,F,T,,N,N,,1180
409,0,1,T,F,F,F,F,F,T,,N,N,,
410,10,1,T,F,F,F,F,T,F,,N,N,,
411,7,1,T,F,F,F,F,F,T,,N,N,,
413,3,1,T,F,F,F,F,T,F,,N,N,,
414,7,1,T,F,F,F,F,F,T,,N,N,,
416,4,1,T,F,F,F,T,F,F,,Y,N,,
417,11,1,T,F,F,F,F,T,F,,N,N,,
418,81,1,T,F,F,F,T,F,F,,Y,N,,
419,26,1,T,F,F,F,T,F,F,,Y,N,,
420,191,1,T,F,F,F,T,F,F,,Y,N,,
421,8,1,T,F,F,F,F,F,T,,N,N,,
422,6,1,T,F,F,F,F,T,F,,N,N,,
424,5,1,T,F,F,F,F,F,T,,N,N,,
425,17,1,T,F,F,F,T,F,F,,Y,N,,
426,8,1,T,F,F,F,F,T,F,,N,N,,
427,0,1,T,F,F,F,F,F,T,,N,N,,
428,5,1,T,F,F,F,T,F,F,,Y,N,,
431,2,1,T,F,F,F,F,F,T,,N,N,,
435,2,1,T,F,F,F,F,F,T,,N,N,,
436,1,1,T,F,F,F,F,F,T,,N,N,,
437,1,1,T,F,F,F,F,F,T,,N,N,,
438,33,1,T,F,F,F,T,F,F,,Y,N,,
439,0,1,T,F,F,F,F,F,T,,N,N,,
440,0,1,T,F,F,F,F,F,T,,N,N,,
441,0,1,T,F,F,F,F,F,T,,N,N,,
442,2,1,T,F,F,F,F,F,T,,N,N,,
443,1,1,T,F,F,F,F,F,T,,N,N,,
445,13,1,T,F,F,F,F,T,F,,N,N,,
446,13,1,T,F,F,F,F,F,T,,N,N,,
447,56,1,T,F,F,F,T,F,F,,Y,N,,
448,12,1,T,F,F,F,T,F,F,,Y,N,,
449,2,1,T,F,F,F,F,F,T,,N,N,,
450,20,1,T,F,F,F,F,F,T,,N,N,,
451,18,1,T,F,F,F,T,F,F,,Y,N,,
452,37,1,T,F,F,F,T,F,F,,Y,N,,
453,3,1,T,F,F,F,F,F,T,,N,N,,
454,42,1,T,F,F,F,T,F,F,,Y,N,,
455,3,1,T,F,F,F,F,F,T,,N,N,,
456,1,1,T,F,F,F,F,F,T,,N,N,,
459,16,1,T,F,F,F,F,T,F,,N,N,,
465,5,1,T,F,F,F,F,T,F,,N,N,,
466,19,1,T,F,F,F,F,T,F,,N,N,,
467,2,1,T,F,F,F,T,F,F,,Y,N,,
468,6,1,T,F,F,F,T,F,F,,Y,N,,
469,15,1,T,F,F,F,F,T,F,,N,N,,
483,0,1,T,F,F,F,F,F,T,,N,N,,
484,15,1,T,F,F,F,F,F,T,,N,N,,
508,2,1,T,F,F,F,F,F,T,,N,N,,
511,4,1,T,F,F,F,F,T,F,,N,N,,
529,38,1,T,F,F,F,T,F,F,,Y,N,,
531,3,1,T,F,F,F,F,F,T,,N,N,,
532,1,1,T,F,F,F,F,F,T,,N,N,,
533,7,1,T,F,F,F,F,T,F,,N,N,,
534,9,1,T,F,F,F,F,F,T,,N,N,,
535,1,1,T,F,F,F,F,F,T,,N,N,,
540,1,1,T,F,F,F,F,F,T,,N,N,,
541,2,1,T,F,F,F,F,F,T,,N,N,,
547,3,1,T,F,F,F,F,F,T,,N,N,,
548,6,1,T,F,F,F,F,F,T,,N,N,,
549,1,1,T,F,F,F,F,F,T,,N,N,,
551,1,1,T,F,F,F,F,T,F,,N,N,,
552,2,1,T,F,F,F,F,T,F,,N,N,,
553,23,1,T,F,F,F,T,F,F,,Y,N,,
554,27,1,T,F,F,F,F,T,F,,N,N,,
555,17,1,T,F,F,F,F,F,T,,N,N,,
556,40,1,T,F,F,F,F,F,T,,N,N,,
557,1,1,T,F,F,F,F,F,T,,N,N,,
558,3,1,T,F,F,F,F,F,T,,N,N,,
559,3,1,T,F,F,F,F,T,F,,N,N,,
560,5,1,T,F,F,F,F,T,F,,N,N,,
561,12,1,T,F,F,F,T,F,F,,Y,N,,
562,5,1,T,F,F,F,F,T,F,,N,N,,
565,30,1,T,F,F,F,T,F,F,,Y,N,,
566,276,1,T,F,F,F,F,T,F,,N,N,,
568,1,1,T,F,F,F,F,F,T,,N,N,,
577,1,1,T,F,F,F,F,F,T,,N,N,,
579,0,1,T,F,F,F,F,F,T,,N,N,,
580,27,1,T,F,F,F,F,T,F,,N,N,,
581,5,1,T,F,F,F,T,F,F,,Y,N,,
582,15,1,T,F,F,F,F,T,F,,N,N,,
583,69,1,T,F,F,F,T,F,F,,Y,N,,
584,9,1,T,F,F,F,F,T,F,,N,N,,
586,2,1,T,F,F,F,F,F,T,,N,N,,
587,5,1,T,F,F,F,F,T,F,,N,N,,
588,104,1,T,F,F,F,T,F,F,,Y,N,,
607,10,1,T,F,F,F,T,F,F,,Y,N,,
608,1,1,T,F,F,F,F,F,T,,N,N,,
609,8,1,T,F,F,F,T,F,F,,Y,N,,
616,4,1,T,F,F,F,F,T,F,,N,N,,
620,112,1,T,F,F,F,T,F,F,,Y,N,,
622,54,1,T,F,F,F,T,F,F,,Y,N,,
623,8,1,T,F,F,F,F,T,F,,N,N,,
624,15,1,T,F,F,F,F,T,F,,N,N,,
625,23,1,T,F,F,F,T,F,F,,Y,N,,
628,4,1,T,F,F,F,F,T,F,,N,N,,
629,11,1,T,F,F,F,F,F,T,,N,N,,
631,0,1,T,F,F,F,F,F,T,,N,N,,
632,1,1,T,F,F,F,F,T,F,,N,N,,
633,9,1,T,F,F,F,T,F,F,,Y,N,,
634,2,1,T,F,F,F,F,F,T,,N,N,,
635,13,1,T,F,F,F,T,F,F,,Y,N,,
636,5,1,T,F,F,F,F,F,T,,N,N,,
637,169,1,T,F,F,F,F,F,T,,N,N,,
638,6,1,T,F,F,F,F,F,T,,N,N,,
639,7,1,T,F,F,F,F,F,T,,N,N,,
640,1,1,T,F,F,F,F,T,F,,N,N,,
644,7,1,T,F,F,F,T,F,F,,Y,N,,
646,1,1,T,F,F,F,F,F,T,,N,N,,
647,40,1,T,F,F,F,T,F,F,,Y,N,,
649,18,1,T,F,F,F,F,T,F,,N,N,,
650,0,1,T,F,F,F,F,F,T,,N,N,,
651,2,1,T,F,F,F,F,F,T,,N,N,,
653,15,1,T,F,F,F,F,F,T,,N,N,,
654,28,1,T,F,F,F,T,F,F,,Y,N,,
656,31,1,T,F,F,F,F,T,F,,N,N,,
657,0,1,T,F,F,F,F,F,T,,N,N,,
659,15,1,T,F,F,F,F,T,F,,N,N,,
663,4,1,T,F,F,F,T,F,F,,Y,N,,
664,5,1,T,F,F,F,F,T,F,,N,N,,
665,12,1,T,F,F,F,T,F,F,,Y,N,,
666,18,1,T,F,F,F,F,T,F,,N,N,,
668,8,1,T,F,F,F,F,F,T,,N,N,,
670,16,1,T,F,F,F,T,F,F,,Y,N,,
673,2,1,T,F,F,F,F,T,F,,N,N,,
675,0,1,T,F,F,F,F,F,T,,N,N,,
678,1,1,T,F,F,F,F,F,T,,N,N,,
679,29,1,T,F,F,F,T,F,F,,Y,N,,
680,3,1,T,F,F,F,F,F,T,,N,N,,
681,5,1,T,F,F,F,F,T,F,,N,N,,
682,2,1,T,F,F,F,F,F,T,,N,N,,
683,4,1,T,F,F,F,F,F,T,,N,N,,
684,53,1,T,F,F,F,T,F,F,,Y,N,,
686,1,1,T,F,F,F,F,F,T,,N,N,,
688,3,1,T,F,F,F,F,F,T,,N,N,,
689,4,1,T,F,F,F,F,F,T,,N,N,,
690,1,1,T,F,F,F,F,F,T,,N,N,,
691,1,1,T,F,F,F,F,F,T,,N,N,,
692,2,1,T,F,F,F,F,F,T,,N,N,,
693,1,1,T,F,F,F,T,F,F,,Y,N,,
694,6,1,T,F,F,F,F,F,T,,N,N,,
696,7,1,T,F,F,F,F,F,T,,N,N,,
697,9,1,T,F,F,F,F,F,T,,N,N,,
701,2,1,T,F,F,F,F,F,T,,N,N,,
702,88,1,T,F,F,F,T,F,F,,Y,N,,
703,2,1,T,F,F,F,F,T,F,,N,N,,
704,22,1,T,F,F,F,T,F,F,,Y,N,,
705,9,1,T,F,F,F,F,T,F,,N,N,,
706,81,1,T,F,F,F,T,F,F,,Y,N,,
708,10,1,T,F,F,F,F,T,F,,N,N,,
709,1,1,T,F,F,F,F,F,T,,N,N,,
710,47,1,T,F,F,F,T,F,F,,Y,N,,
711,14,1,T,F,F,F,F,F,T,,N,N,,
712,1,1,T,F,F,F,F,F,T,,N,N,,
714,4,1,T,F,F,F,F,F,T,,N,N,,
715,29,1,T,F,F,F,T,F,F,,Y,N,,
717,32,1,T,F,F,F,F,T,F,,N,N,,
718,18,1,T,F,F,F,F,T,F,,N,N,,
719,12,1,T,F,F,F,T,F,F,,Y,N,,
720,47,1,T,F,F,F,T,F,F,,Y,N,,
721,9,1,T,F,F,F,F,F,T,,N,N,,
722,2,1,T,F,F,F,F,F,T,,N,N,,
723,3,1,T,F,F,F,F,T,F,,N,N,,
724,26,1,T,F,F,F,T,F,F,,Y,N,,
725,3,1,T,F,F,F,F,F,T,,N,N,,
726,31,1,T,F,F,F,T,F,F,,Y,N,,
727,26,1,T,F,F,F,F,T,F,,N,N,,
729,8,1,T,F,F,F,F,F,T,,N,N,,
731,9,1,T,F,F,F,F,F,T,,N,N,,
732,13,1,T,F,F,F,F,T,F,,N,N,,
733,19,1,T,F,F,F,F,T,F,,N,N,,
734,2,1,T,F,F,F,F,F,T,,N,N,,
736,1,1,T,F,F,F,F,F,T,,N,N,,
740,4,1,T,F,F,F,F,F,T,,N,N,,
741,19,1,T,F,F,F,T,F,F,,Y,N,,
742,8,1,T,F,F,F,F,F,T,,N,N,,
743,1,1,T,F,F,F,F,F,T,,N,N,,
744,2,1,T,F,F,F,F,F,T,,N,N,,
745,15,1,T,F,F,F,T,F,F,,Y,N,,
746,1,1,T,F,F,F,F,F,T,,N,N,,
748,24,1,T,F,F,F,F,F,T,,N,N,,
749,9,1,T,F,F,F,F,F,T,,N,N,,
753,1,1,T,F,F,F,F,F,T,,N,N,,
755,9,1,T,F,F,F,F,F,T,,N,N,,
756,2,1,T,F,F,F,F,F,T,,N,N,,
757,7,1,T,F,F,F,F,F,T,,N,N,,
759,0,1,T,F,F,F,F,F,T,,N,N,,
760,6,1,T,F,F,F,F,F,T,,N,N,,
761,4,1,T,F,F,F,F,T,F,,N,N,,
762,6,1,T,F,F,F,F,F,T,,N,N,,
