max_score,sampled_at,user_id
5063.56131086,2014-10-16 00:00:00,5694
5062.93534309,2014-10-21 00:00:00,4926
5062.71916502,2014-10-10 00:00:00,6503
5062.55064181,2014-10-21 00:00:00,3554
5062.49664508,2014-10-09 00:00:00,1876
5062.49174621,2014-10-21 00:00:00,3633
5062.36901106,2014-10-21 00:00:00,3997
5061.61898819,2014-10-09 00:00:00,1600
5061.60761514,2014-10-21 00:00:00,6188
5061.54422855,2014-10-21 00:00:00,5113
5061.48429087,2014-10-21 00:00:00,4227
5061.48400988,2014-10-21 00:00:00,512
5061.47632173,2014-10-21 00:00:00,4250
5061.35113975,2014-10-21 00:00:00,6371
5061.21181477,2014-10-21 00:00:00,4599
5061.1943875,2014-10-21 00:00:00,4205
5061.03535376,2014-10-21 00:00:00,4800
5060.99486638,2014-10-21 00:00:00,5652
5060.94578084,2014-10-09 00:00:00,431
5060.86954766,2014-10-09 00:00:00,9179
5060.78865237,2014-10-09 00:00:00,1999
5060.69345278,2014-10-21 00:00:00,4221
5060.62548748,2014-10-21 00:00:00,3479
5060.35201246,2014-10-09 00:00:00,9251
5060.29358259,2014-10-09 00:00:00,9297
5060.20666076,2014-10-22 00:00:00,9669
5060.15198451,2014-10-21 00:00:00,3862
5060.0473514,2014-10-21 00:00:00,5285
5060.0473514,2014-10-21 00:00:00,4936
5060.03061957,2014-10-21 00:00:00,5190
5060.01024114,2014-10-21 00:00:00,3891
5059.98810535,2014-10-21 00:00:00,5127
5059.88033998,2014-10-21 00:00:00,9477
5059.58146131,2014-10-21 00:00:00,4161
5059.58146131,2014-10-21 00:00:00,6315
5059.4769043,2014-10-10 00:00:00,2973
5059.4546113,2014-10-20 00:00:00,806
5059.29174095,2014-10-21 00:00:00,5193
5059.26212033,2014-10-21 00:00:00,5599
5059.10935356,2014-10-10 00:00:00,3204
5059.03239511,2014-10-21 00:00:00,4603
5059.00966958,2014-11-24 00:00:00,5417
5058.86768033,2014-10-10 00:00:00,531
5058.73948178,2014-10-21 00:00:00,788
5058.63076216,2014-10-17 00:00:00,1990
5058.54160304,2014-10-21 00:00:00,3840
5058.26312551,2014-10-10 00:00:00,6394
5058.1951643,2014-10-21 00:00:00,5314
5058.19146509,2014-10-21 00:00:00,192
5058.11126559,2014-10-21 00:00:00,5938
5057.84084368,2014-10-21 00:00:00,3209
5057.76050601,2014-10-21 00:00:00,4816
5057.5380308,2014-10-21 00:00:00,3520
5057.39385611,2014-10-21 00:00:00,3304
5057.34683125,2014-10-21 00:00:00,4575
5057.20175304,2014-10-21 00:00:00,1798
5056.39668765,2014-10-21 00:00:00,3139
5056.28535931,2014-10-21 00:00:00,3614
5055.97698397,2014-10-21 00:00:00,5849
5055.97698397,2014-10-21 00:00:00,5546
5055.95589249,2014-10-21 00:00:00,5831
5055.89597515,2014-10-21 00:00:00,4492
5055.77416155,2014-10-15 00:00:00,620
5055.74305693,2014-10-21 00:00:00,6498
5055.59627587,2014-10-21 00:00:00,3261
5055.58888563,2014-10-21 00:00:00,3540
5055.48955506,2014-11-24 00:00:00,5608
5055.34453611,2014-10-21 00:00:00,6004
5055.34453611,2014-10-21 00:00:00,5457
5055.34453611,2014-10-21 00:00:00,6131
5055.34453611,2014-10-21 00:00:00,5398
5055.34453611,2014-10-21 00:00:00,5797
5055.3401124,2014-10-10 00:00:00,763
5055.27329336,2014-10-21 00:00:00,6581
5055.2564709,2014-10-09 00:00:00,9160
5055.10049274,2014-10-11 00:00:00,5103
5055.08094441,2014-10-21 00:00:00,5309
5055.07141446,2014-10-21 00:00:00,3860
