quest_id,created_at,trade_id
440,6/6/2014,1
440,6/10/2014,1
616,2/18/2015,1
616,2/12/2015,1
616,2/11/2015,1
440,6/24/2014,1
440,7/5/2014,1
440,7/15/2014,1
616,2/1/2015,1
440,7/23/2014,1
616,1/31/2015,1
440,7/30/2014,1
616,1/23/2015,1
616,1/14/2015,1
440,8/13/2014,1
440,9/5/2014,1
440,9/17/2014,1
440,12/11/2014,1
99,12/8/2013,1
441,4/30/2014,1
441,5/16/2014,1
441,5/28/2014,1
616,1/7/2015,1
441,6/3/2014,1
616,12/15/2014,1
616,12/14/2014,1
99,12/16/2013,1
616,12/11/2014,1
441,6/23/2014,1
441,6/24/2014,1
441,7/6/2014,1
616,12/10/2014,1
18,1/11/2014,1
99,12/18/2013,1
616,12/9/2014,1
441,2/21/2015,1
441,2/23/2015,1
441,3/4/2015,1
442,4/1/2014,1
442,4/16/2014,1
442,4/21/2014,1
442,5/5/2014,1
442,5/27/2014,1
616,8/21/2014,1
616,8/19/2014,1
442,6/6/2014,1
442,6/10/2014,1
616,8/12/2014,1
616,8/6/2014,1
616,7/31/2014,1
442,6/22/2014,1
442,6/23/2014,1
442,6/24/2014,1
442,7/5/2014,1
616,7/10/2014,1
442,7/24/2014,1
616,7/9/2014,1
442,7/30/2014,1
616,6/13/2014,1
99,12/19/2013,1
616,6/10/2014,1
442,9/4/2014,1
442,9/9/2014,1
442,11/9/2014,1
442,11/26/2014,1
99,1/8/2014,1
442,1/13/2015,1
442,2/8/2015,1
442,2/21/2015,1
443,4/9/2014,1
18,1/12/2014,1
443,4/24/2014,1
615,5/31/2014,1
443,5/28/2014,1
615,5/20/2014,1
613,5/20/2014,1
1024,11/22/2014,1
443,6/10/2014,1
443,6/13/2014,1
18,2/5/2014,1
613,5/13/2014,1
613,5/8/2014,1
611,5/8/2014,1
443,7/28/2014,1
1024,11/8/2014,1
611,5/7/2014,1
443,8/6/2014,1
443,8/7/2014,1
99,2/10/2014,1
443,8/13/2014,1
443,11/19/2014,1
443,2/6/2015,1
443,2/21/2015,1
444,4/2/2014,1
444,4/5/2014,1
444,4/9/2014,1
444,4/11/2014,1
444,4/16/2014,1
444,4/19/2014,1
444,4/21/2014,1
444,4/23/2014,1
444,4/29/2014,1
444,4/30/2014,1
444,5/3/2014,1
444,5/7/2014,1
610,7/31/2014,1
444,5/14/2014,1
99,2/15/2014,1
444,5/20/2014,1
610,7/20/2014,1
444,5/23/2014,1
444,5/24/2014,1
610,7/8/2014,1
609,3/7/2015,1
609,3/3/2015,1
609,1/14/2015,1
444,5/31/2014,1
444,6/1/2014,1
609,1/8/2015,1
609,12/12/2014,1
444,6/4/2014,1
609,12/7/2014,1
609,11/26/2014,1
445,4/6/2014,1
445,4/8/2014,1
445,4/13/2014,1
445,4/17/2014,1
445,4/19/2014,1
445,4/20/2014,1
445,4/21/2014,1
445,4/23/2014,1
445,5/4/2014,1
99,3/1/2014,1
609,11/15/2014,1
99,5/27/2014,1
1024,11/5/2014,1
1024,10/16/2014,1
609,11/7/2014,1
609,11/6/2014,1
445,6/19/2014,1
609,8/6/2014,1
1023,1/2/2015,1
609,7/27/2014,1
445,7/23/2014,1
445,7/25/2014,1
445,7/29/2014,1
609,6/22/2014,1
609,5/27/2014,1
445,8/18/2014,1
445,11/10/2014,1
608,2/8/2015,1
445,12/4/2014,1
608,1/13/2015,1
608,11/16/2014,1
445,12/7/2014,1
608,8/16/2014,1
445,12/12/2014,1
445,12/13/2014,1
99,6/8/2014,1
445,12/17/2014,1
445,12/18/2014,1
608,8/6/2014,1
1023,12/24/2014,1
608,7/31/2014,1
99,6/11/2014,1
1023,12/18/2014,1
445,1/7/2015,1
445,1/21/2015,1
1023,12/13/2014,1
608,7/20/2014,1
608,7/9/2014,1
446,4/15/2014,1
446,4/19/2014,1
446,5/30/2014,1
608,6/24/2014,1
446,6/6/2014,1
446,6/10/2014,1
446,6/11/2014,1
608,6/21/2014,1
608,6/10/2014,1
99,6/19/2014,1
446,6/24/2014,1
608,6/6/2014,1
446,7/2/2014,1
608,6/3/2014,1
608,5/7/2014,1
1023,12/12/2014,1
446,7/18/2014,1
446,7/21/2014,1
608,5/6/2014,1
607,1/30/2015,1
607,12/28/2014,1
1023,12/9/2014,1
607,12/21/2014,1
607,12/20/2014,1
607,12/12/2014,1
18,2/13/2014,1
607,12/9/2014,1
1023,12/8/2014,1
446,9/9/2014,1
446,9/30/2014,1
99,7/1/2014,1
607,12/5/2014,1
446,10/10/2014,1
99,7/9/2014,1
1023,12/7/2014,1
446,11/7/2014,1
446,11/10/2014,1
607,11/26/2014,1
446,11/14/2014,1
446,11/17/2014,1
446,11/18/2014,1
446,11/23/2014,1
1023,12/6/2014,1
446,12/3/2014,1
446,12/4/2014,1
99,7/25/2014,1
446,12/11/2014,1
446,12/30/2014,1
446,1/9/2015,1
607,11/17/2014,1
1023,12/4/2014,1
446,1/21/2015,1
446,1/23/2015,1
99,8/3/2014,1
1023,11/30/2014,1
446,2/9/2015,1
446,2/20/2015,1
446,2/21/2015,1
446,3/13/2015,1
447,5/30/2014,1
447,6/3/2014,1
447,6/4/2014,1
447,6/6/2014,1
607,11/6/2014,1
447,6/13/2014,1
607,9/23/2014,1
607,9/17/2014,1
99,8/6/2014,1
447,6/25/2014,1
447,7/1/2014,1
447,7/9/2014,1
447,7/10/2014,1
447,7/18/2014,1
447,7/21/2014,1
607,8/29/2014,1
447,7/25/2014,1
447,7/31/2014,1
607,6/30/2014,1
447,8/6/2014,1
447,8/7/2014,1
607,5/25/2014,1
447,8/21/2014,1
447,8/31/2014,1
1023,11/27/2014,1
606,5/13/2014,1
99,8/13/2014,1
447,11/10/2014,1
606,5/12/2014,1
447,11/15/2014,1
606,5/9/2014,1
447,11/17/2014,1
605,5/16/2014,1
605,5/15/2014,1
447,11/20/2014,1
605,5/12/2014,1
99,8/21/2014,1
605,5/9/2014,1
604,5/15/2014,1
447,12/5/2014,1
604,5/12/2014,1
604,5/9/2014,1
603,5/18/2014,1
603,5/15/2014,1
447,12/11/2014,1
447,12/12/2014,1
99,9/1/2014,1
1023,11/23/2014,1
18,2/28/2014,1
603,5/12/2014,1
603,5/9/2014,1
99,10/11/2014,1
447,1/12/2015,1
447,1/13/2015,1
447,1/14/2015,1
18,3/7/2014,1
100,12/8/2013,1
100,12/16/2013,1
447,1/19/2015,1
602,5/16/2014,1
602,5/12/2014,1
447,1/22/2015,1
447,1/25/2015,1
447,1/26/2015,1
602,5/9/2014,1
601,5/19/2014,1
601,5/16/2014,1
601,5/15/2014,1
601,5/12/2014,1
601,5/9/2014,1
600,5/15/2014,1
600,5/12/2014,1
600,5/9/2014,1
599,5/16/2014,1
599,5/15/2014,1
447,2/7/2015,1
447,2/9/2015,1
100,4/4/2014,1
448,4/21/2014,1
448,5/9/2014,1
448,5/29/2014,1
599,5/12/2014,1
599,5/9/2014,1
448,6/4/2014,1
598,6/5/2014,1
598,5/29/2014,1
